compound_name,pubchem_cid,smiles,family,source,is_mida
Chlorpyrifos,2730,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,mixed,MIDA_name_search,True
Malathion,4004,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,mixed,MIDA_name_search,True
Dimethoate,3082,CNC(=O)CSP(=S)(OC)OC,mixed,MIDA_name_search,True
Methyl parathion,4130,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,mixed,MIDA_name_search,True
Carbaryl,6129,CNC(=O)Oc1cccc2ccccc12,mixed,MIDA_name_search,True
Methomyl,4109,CNC(=O)ON=C(C)SC,mixed,MIDA_name_search,True
Aldicarb,9570071,CNC(=O)O/N=C/C(C)(C)SC,mixed,MIDA_name_search,True
Atrazine,2256,CCNc1nc(Cl)nc(NC(C)C)n1,mixed,MIDA_name_search,True
Simazine,5216,CCNc1nc(Cl)nc(NCC)n1,mixed,MIDA_name_search,True
Tebuconazole,86102,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,mixed,MIDA_name_search,True
Propiconazole,43234,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,mixed,MIDA_name_search,True
Difenoconazole,86173,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,mixed,MIDA_name_search,True
Cypermethrin,2912,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,mixed,MIDA_name_search,True
Deltamethrin,40585,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,mixed,MIDA_name_search,True
Lambda-cyhalothrin,6440557,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,mixed,MIDA_name_search,True
Glyphosate,3496,O=C(O)CNCP(=O)(O)O,mixed,MIDA_name_search,True
Paraquat,15939,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,mixed,MIDA_name_search,True
"2,4-D",1486,O=C(O)COc1ccc(Cl)cc1Cl,mixed,MIDA_name_search,True
