compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
Chlorpyrifos,2730,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,mixed,CHEMBL463210,known_registry,ok,1,CHLORPYRIFOS
Malathion,4004,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,mixed,CHEMBL1200468,known_registry,ok,1,MALATHION
Dimethoate,3082,CNC(=O)CSP(=S)(OC)OC,mixed,CHEMBL1569524,known_registry,ok,1,DIMETHOATE
Methyl parathion,4130,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,mixed,CHEMBL346516,known_registry,ok,1,METHYL PARATHIONE
Carbaryl,6129,CNC(=O)Oc1cccc2ccccc12,mixed,CHEMBL46917,known_registry,ok,1,CARBARIL
Methomyl,4109,CNC(=O)ON=C(C)SC,mixed,CHEMBL552761,known_registry,ok,1,
Aldicarb,9570071,CNC(=O)O/N=C/C(C)(C)SC,mixed,CHEMBL91732,known_registry,ok,1,ALDICARB
Atrazine,2256,CCNc1nc(Cl)nc(NC(C)C)n1,mixed,CHEMBL15063,known_registry,ok,1,ATRAZINE
Simazine,5216,CCNc1nc(Cl)nc(NCC)n1,mixed,CHEMBL5775,known_registry,ok,1,
Tebuconazole,86102,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,mixed,CHEMBL8937,known_registry,ok,1,
Propiconazole,43234,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,mixed,CHEMBL174240,known_registry,ok,1,
Difenoconazole,86173,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,mixed,CHEMBL91495,known_registry,ok,1,
Cypermethrin,2912,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,mixed,CHEMBL3033792,known_registry,ok,1,
Deltamethrin,40585,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,mixed,CHEMBL416,known_registry,ok,1,METHOXSALEN
Lambda-cyhalothrin,6440557,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,mixed,CHEMBL64147,known_registry,ok,1,
Glyphosate,3496,O=C(O)CNCP(=O)(O)O,mixed,CHEMBL9571438,known_registry,ok,1,
Paraquat,15939,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,mixed,CHEMBL13958,known_registry,ok,1,
"2,4-D",1486,O=C(O)COc1ccc(Cl)cc1Cl,mixed,CHEMBL7715,known_registry,ok,1,
Mancozeb,3034368,S=C([S-])NCCNC(=S)[S-].S=C([S-])NCCNC(=S)[S-].[Mn+2].[Zn+2],mixed,CHEMBL1200543,known_registry,ok,1,ANILERIDINE PHOSPHATE
Chlorothalonil,15910,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,mixed,CHEMBL468167,known_registry,ok,1,CHLOROTHALONIL
CID_119,119,NCCCC(=O)O,Organophosphates,CHEMBL96,sqlite_smiles,ok,1,GAMMA-AMINOBUTYRIC ACID
CID_152,152,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,Organophosphates,,,not_found,0,
CID_205,205,CC(O)C(N)C(=O)O,Organophosphates,CHEMBL30037,sqlite_smiles,ok,1,
CID_222,222,N,Organophosphates,CHEMBL1160819,sqlite_smiles,ok,1,"AMMONIA SOLUTION, STRONG"
CID_224,224,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Organophosphates,CHEMBL16720,sqlite_smiles,ok,1,
CID_227,227,Nc1ccccc1C(=O)O,Organophosphates,CHEMBL14173,sqlite_smiles,ok,1,ANTHRANILIC ACID
CID_229,229,OC1COC(O)C(O)C1O,Organophosphates,CHEMBL14343,sqlite_smiles,ok,1,
CID_232,232,NC(N)=NCCCC(N)C(=O)O,Organophosphates,,,not_found,0,
CID_236,236,NC(=O)CC(N)C(=O)O,Organophosphates,,,not_found,0,
CID_239,239,NCCC(=O)O,Organophosphates,CHEMBL297569,sqlite_smiles,ok,1,BETA-ALANINE
CID_255,255,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,Organophosphates,CHEMBL1231178,sqlite_smiles,ok,1,
CID_277,277,NC(=O)O,Organophosphates,CHEMBL125278,sqlite_smiles,ok,1,CARBAMIC ACID
CID_280,280,O=C=O,Organophosphates,CHEMBL1231871,sqlite_smiles,ok,1,CARBON DIOXIDE
CID_297,297,C,Organophosphates,CHEMBL17564,sqlite_smiles,ok,1,METHANE
CID_313,313,Cl,Organophosphates,CHEMBL1231821,sqlite_smiles,ok,1,HYDROCHLORIC ACID
CID_335,335,Cc1ccccc1O,Organophosphates,CHEMBL46931,sqlite_smiles,ok,1,ORTHOCRESOL
CID_364,364,NCC(N)C(=O)O,Organophosphates,CHEMBL596011,sqlite_smiles,ok,1,
CID_378,378,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,Organophosphates,CHEMBL24231,sqlite_smiles,ok,1,p-NITROPHENYLPHOSPHATE
CID_392,392,NCCCC(N)CC(=O)O,Organophosphates,CHEMBL5222185,sqlite_smiles,ok,1,
CID_424,424,NC(CC(=O)O)C(=O)O,Organophosphates,,,not_found,0,
CID_470,470,NCCC(N)C(=O)O,Organophosphates,CHEMBL307931,sqlite_smiles,ok,1,
CID_499,499,O=C1CCC(C(=O)O)N1,Organophosphates,,,not_found,0,
CID_504,504,O=C1CN=CN1,Organophosphates,CHEMBL2447922,sqlite_smiles,ok,1,IMIDAZOLINONE
CID_529,529,O=C(O)COP(=O)(O)O,Organophosphates,CHEMBL47181,sqlite_smiles,ok,1,PHOSPHOGLYCOLIC ACID
CID_564,564,NCCCCCC(=O)O,Organophosphates,CHEMBL1046,sqlite_smiles,ok,1,AMINOCAPROIC ACID
CID_594,594,NC(CS)C(=O)O,Organophosphates,CHEMBL54943,sqlite_smiles,ok,1,
CID_602,602,CC(N)C(=O)O,Organophosphates,,,not_found,0,
CID_611,611,NC(CCC(=O)O)C(=O)O,Organophosphates,,,not_found,0,
CID_614,614,O=C(O)C1CCCN1,Organophosphates,,,not_found,0,
CID_617,617,NC(CO)C(=O)O,Organophosphates,,,not_found,0,
CID_637,637,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,Organophosphates,CHEMBL280428,sqlite_smiles,ok,1,
CID_640,640,O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,Organophosphates,,,not_found,0,
CID_655,655,CCOP(O)(=S)OCC,Organophosphates,CHEMBL1232328,sqlite_smiles,ok,1,"O,O-DIETHYL S-HYDROGEN PHOSPHOROTHIOATE"
CID_660,660,O=C1CCc2ccccc2O1,Organophosphates,CHEMBL89306,sqlite_smiles,ok,1,DIHYDROCOUMARIN
CID_668,668,O=C(CO)COP(=O)(O)O,Organophosphates,CHEMBL1161998,sqlite_smiles,ok,1,
CID_673,673,CN(C)CC(=O)O,Organophosphates,CHEMBL1232274,sqlite_smiles,ok,1,
CID_713,713,NC=O,Organophosphates,CHEMBL266160,sqlite_smiles,ok,1,FORMAMIDE
CID_724,724,O=C(O)C(O)COP(=O)(O)O,Organophosphates,CHEMBL87788,sqlite_smiles,ok,1,
CID_729,729,O=CC(O)COP(=O)(O)O,Organophosphates,,,not_found,0,
CID_738,738,NC(=O)CCC(N)C(=O)O,Organophosphates,,,not_found,0,
CID_745,745,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,Organophosphates,CHEMBL100476,sqlite_smiles,ok,1,
CID_750,750,NCC(=O)O,Organophosphates,CHEMBL773,sqlite_smiles,ok,1,GLYCINE
CID_773,773,NC(Cc1cnc[nH]1)C(=O)O,Organophosphates,,,not_found,0,
CID_778,778,NC(CCS)C(=O)O,Organophosphates,CHEMBL310604,sqlite_smiles,ok,1,HOMOCYSTEINE
CID_779,779,NC(CCO)C(=O)O,Organophosphates,,,not_found,0,
CID_824,824,CCCC(N)C(=O)O,Organophosphates,,,not_found,0,
