compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
Chlorpyrifos,2730,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Organophosphates,CHEMBL463210,smiles,ok,1,CHLORPYRIFOS
Malathion,4004,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Organophosphates,CHEMBL1200468,smiles,ok,1,MALATHION
Dimethoate,3082,CNC(=O)CSP(=S)(OC)OC,Organophosphates,CHEMBL1569524,smiles,ok,1,DIMETHOATE
Methyl parathion,4130,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,Organophosphates,CHEMBL346516,smiles,ok,1,METHYL PARATHIONE
Carbaryl,6129,CNC(=O)Oc1cccc2ccccc12,Carbamates,CHEMBL46917,smiles,ok,1,CARBARIL
Methomyl,4109,CNC(=O)ON=C(C)SC,Carbamates,CHEMBL552761,smiles,ambiguous,2,
Aldicarb,9570071,CNC(=O)O/N=C/C(C)(C)SC,Carbamates,CHEMBL91732,smiles,ambiguous,2,ALDICARB
Atrazine,2256,CCNc1nc(Cl)nc(NC(C)C)n1,Triazines,CHEMBL15063,smiles,ok,1,ATRAZINE
Simazine,5216,CCNc1nc(Cl)nc(NCC)n1,Triazines,CHEMBL5775,known_registry,ok,1,
Tebuconazole,86102,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,Azole_fungicides,CHEMBL8937,known_registry,ok,1,
Propiconazole,43234,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,Azole_fungicides,CHEMBL174240,known_registry,ok,1,
Difenoconazole,86173,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,Azole_fungicides,CHEMBL91495,known_registry,ok,1,
Cypermethrin,2912,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Pyrethroids,CHEMBL3033792,known_registry,ok,1,
Deltamethrin,40585,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,Pyrethroids,CHEMBL416,known_registry,ok,1,
Lambda-cyhalothrin,6440557,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,Pyrethroids,CHEMBL64147,known_registry,ok,1,
Glyphosate,3496,O=C(O)CNCP(=O)(O)O,Herbicides,CHEMBL9571438,known_registry,ok,1,
Paraquat,15939,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,Herbicides,CHEMBL13958,known_registry,ok,1,
"2,4-D",1486,O=C(O)COc1ccc(Cl)cc1Cl,Herbicides,CHEMBL7715,known_registry,ok,1,
Mancozeb,3034368,S=C([S-])NCCNC(=S)[S-].S=C([S-])NCCNC(=S)[S-].[Mn+2].[Zn+2],Fungicides,CHEMBL1200543,known_registry,ok,1,
Chlorothalonil,15910,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,Fungicides,CHEMBL468167,smiles,ok,1,CHLOROTHALONIL
