compound_name,pubchem_cid,chembl_id,smiles,family,match_method,activity_id,assay_chembl_id,target_chembl_id,target_name,target_type,organism,standard_type,standard_value,standard_units,standard_relation,pchembl_value,pchembl_imputed,activity_class,activity_comment,data_validity_comment,potential_duplicate,assay_type,bao_label,mw_freebase,alogp,psa,hba,hbd,num_ro5_violations,aromatic_rings,heavy_atoms,rtb,molecular_species,cx_logp,cx_logd
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,37426,CHEMBL822752,CHEMBL4033,Cyclooxygenase-2,SINGLE PROTEIN,Canis lupus familiaris,IC50,3790.0,nM,=,5.42,False,Inactive,,,0,B,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,347799,CHEMBL661229,CHEMBL3397,Cytochrome P450 2C9,SINGLE PROTEIN,Homo sapiens,Ki,19000.0,nM,=,4.72,False,Inactive,,,0,A,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,517229,CHEMBL762789,CHEMBL612545,Unchecked,UNCHECKED,,IC50,10000.0,nM,=,5.0,False,Inactive,,,0,B,BAO_0000221,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,562103,CHEMBL779638,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,32.4,uM,=,4.489454989793388,True,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,736797,CHEMBL766127,CHEMBL2095157,Cyclooxygenase,PROTEIN FAMILY,Rattus norvegicus,IC50,15000.0,nM,=,4.82,False,Inactive,,,0,B,BAO_0000224,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,807130,CHEMBL765856,CHEMBL221,Prostaglandin G/H synthase 1,SINGLE PROTEIN,Homo sapiens,IC50,3000.0,nM,=,5.52,False,Inactive,,,0,B,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,3484611,CHEMBL1267245,CHEMBL364,Plasmodium falciparum,ORGANISM,Plasmodium falciparum,IC50,10000.0,nM,=,5.0,False,Inactive,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,3484699,CHEMBL1267246,CHEMBL364,Plasmodium falciparum,ORGANISM,Plasmodium falciparum,IC50,12589.25,nM,=,4.9,False,Inactive,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,3484784,CHEMBL1267247,CHEMBL364,Plasmodium falciparum,ORGANISM,Plasmodium falciparum,IC50,12589.25,nM,=,4.9,False,Inactive,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,3484930,CHEMBL1267249,CHEMBL364,Plasmodium falciparum,ORGANISM,Plasmodium falciparum,IC50,12589.25,nM,=,4.9,False,Inactive,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
