compound_name,pubchem_cid,chembl_id,smiles,family,match_method,activity_id,assay_chembl_id,target_chembl_id,target_name,target_type,organism,standard_type,standard_value,standard_units,standard_relation,pchembl_value,pchembl_imputed,activity_class,activity_comment,data_validity_comment,potential_duplicate,assay_type,bao_label,mw_freebase,alogp,psa,hba,hbd,num_ro5_violations,aromatic_rings,heavy_atoms,rtb,molecular_species,cx_logp,cx_logd
CID_745,745,CHEMBL100476,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,Organophosphates,sqlite_smiles,11647779,CHEMBL2114780,CHEMBL1293278,Geminin,SINGLE PROTEIN,Homo sapiens,Potency,20596.2,nM,,,False,,inconclusive,,0,F,BAO_0000219,307.33,-2.21,158.82,6,6,1,0,20,9,,,
CID_745,745,CHEMBL100476,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,Organophosphates,sqlite_smiles,14174531,CHEMBL3215181,CHEMBL612545,Unchecked,UNCHECKED,,Potency,4466.8,nM,,,False,,inactive,,0,F,BAO_0000019,307.33,-2.21,158.82,6,6,1,0,20,9,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,37426,CHEMBL822752,CHEMBL4033,Cyclooxygenase-2,SINGLE PROTEIN,Canis lupus familiaris,IC50,3790.0,nM,=,5.42,False,Inactive,,,0,B,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,171994,CHEMBL782421,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,10.0,mg.kg-1,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,261023,CHEMBL783183,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,13.1,mg.kg-1,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,261026,CHEMBL744095,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,273.6,mg.kg-1,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,261039,CHEMBL740280,CHEMBL375,Mus musculus,ORGANISM,Mus musculus,LD50,238.2,mg.kg-1,=,,False,,,,0,T,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,347799,CHEMBL661229,CHEMBL3397,Cytochrome P450 2C9,SINGLE PROTEIN,Homo sapiens,Ki,19000.0,nM,=,4.72,False,Inactive,,,0,A,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,399470,CHEMBL787541,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,Inhibition,38.0,%,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,517229,CHEMBL762789,CHEMBL612545,Unchecked,UNCHECKED,,IC50,10000.0,nM,=,5.0,False,Inactive,,,0,B,BAO_0000221,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,562103,CHEMBL779638,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,32.4,uM,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,562104,CHEMBL764147,CHEMBL2949,Prostaglandin G/H synthase 1,SINGLE PROTEIN,Ovis aries,IC50,384000.0,nM,=,,False,,,Outside typical range,0,B,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,562105,CHEMBL769654,CHEMBL230,Prostaglandin G/H synthase 2,SINGLE PROTEIN,Homo sapiens,IC50,284000.0,nM,=,,False,,,Outside typical range,0,B,BAO_0000357,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,655518,CHEMBL789494,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,Inhibition,47.0,%,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,700334,CHEMBL790499,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,Inhibition,82.0,%,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,700338,CHEMBL814492,CHEMBL375,Mus musculus,ORGANISM,Mus musculus,LD50,300.0,mg.kg-1,=,,False,,,,0,A,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,725862,CHEMBL782253,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,25.0,mg.kg-1,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
CID_4781,4781,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,Herbicides,sqlite_smiles,725863,CHEMBL782252,CHEMBL376,Rattus norvegicus,ORGANISM,Rattus norvegicus,ED50,30.0,mg.kg-1,=,,False,,,,0,F,BAO_0000218,308.38,3.79,40.62,2,0,0,2,23,5,,,
