CID,ghs_codes,toxic_oral,endocrine_risk,genotoxic,aquatic_tox
2730,,0,0,0,0
4004,,0,0,0,0
3082,,0,0,0,0
4130,,0,0,0,0
6129,,0,0,0,0
4109,,0,0,0,0
9570071,,0,0,0,0
2256,,0,0,0,0
5216,,0,0,0,0
86102,,0,0,0,0
43234,,0,0,0,0
86173,,0,0,0,0
2912,,0,0,0,0
40585,,0,0,0,0
6440557,,0,0,0,0
3496,,0,0,0,0
15939,,0,0,0,0
1486,,0,0,0,0
3034368,,0,0,0,0
15910,,0,0,0,0
119,,0,0,0,0
152,,0,0,0,0
205,,0,0,0,0
222,,0,0,0,0
224,,0,0,0,0
227,,0,0,0,0
229,,0,0,0,0
232,,0,0,0,0
236,,0,0,0,0
239,,0,0,0,0
255,,0,0,0,0
277,,0,0,0,0
280,,0,0,0,0
297,,0,0,0,0
313,,0,0,0,0
335,,0,0,0,0
364,,0,0,0,0
378,,0,0,0,0
392,,0,0,0,0
424,,0,0,0,0
470,,0,0,0,0
499,,0,0,0,0
504,,0,0,0,0
529,,0,0,0,0
564,,0,0,0,0
594,,0,0,0,0
602,,0,0,0,0
611,,0,0,0,0
614,,0,0,0,0
617,,0,0,0,0
637,,0,0,0,0
640,,0,0,0,0
655,,0,0,0,0
660,,0,0,0,0
668,,0,0,0,0
673,,0,0,0,0
713,,0,0,0,0
724,,0,0,0,0
729,,0,0,0,0
738,,0,0,0,0
745,,0,0,0,0
750,,0,0,0,0
773,,0,0,0,0
778,,0,0,0,0
779,,0,0,0,0
824,,0,0,0,0
825,,0,0,0,0
833,,0,0,0,0
849,,0,0,0,0
854,,0,0,0,0
9,,0,0,0,0
59,,0,0,0,0
96,,0,0,0,0
106,,0,0,0,0
107,,0,0,0,0
137,,0,0,0,0
174,,0,0,0,0
175,,0,0,0,0
176,,0,0,0,0
177,,0,0,0,0
190,,0,0,0,0
238,,0,0,0,0
264,,0,0,0,0
275,,0,0,0,0
284,,0,0,0,0
307,,0,0,0,0
308,,0,0,0,0
314,,0,0,0,0
317,,0,0,0,0
322,,0,0,0,0
346,,0,0,0,0
363,,0,0,0,0
402,,0,0,0,0
421,,0,0,0,0
423,,0,0,0,0
449,,0,0,0,0
460,,0,0,0,0
464,,0,0,0,0
527,,0,0,0,0
546,,0,0,0,0
586,,0,0,0,0
588,,0,0,0,0
595,,0,0,0,0
596,,0,0,0,0
3,,0,0,0,0
16,,0,0,0,0
17,,0,0,0,0
19,,0,0,0,0
20,,0,0,0,0
22,,0,0,0,0
30,,0,0,0,0
32,,0,0,0,0
36,,0,0,0,0
38,,0,0,0,0
39,,0,0,0,0
40,,0,0,0,0
43,,0,0,0,0
45,,0,0,0,0
49,,0,0,0,0
51,,0,0,0,0
58,,0,0,0,0
61,,0,0,0,0
63,,0,0,0,0
67,,0,0,0,0
71,,0,0,0,0
72,,0,0,0,0
85,,0,0,0,0
86,,0,0,0,0
87,,0,0,0,0
102,,0,0,0,0
111,,0,0,0,0
118,,0,0,0,0
126,,0,0,0,0
127,,0,0,0,0
133,,0,0,0,0
135,,0,0,0,0
138,,0,0,0,0
167,,0,0,0,0
179,,0,0,0,0
180,,0,0,0,0
191,,0,0,0,0
199,,0,0,0,0
206,,0,0,0,0
207,,0,0,0,0
208,,0,0,0,0
66,,0,0,0,0
144,,0,0,0,0
178,,0,0,0,0
196,,0,0,0,0
198,,0,0,0,0
241,,0,0,0,0
253,,0,0,0,0
262,,0,0,0,0
263,,0,0,0,0
281,,0,0,0,0
288,,0,0,0,0
294,,0,0,0,0
300,,0,0,0,0
303,,0,0,0,0
305,,0,0,0,0
311,,0,0,0,0
312,,0,0,0,0
356,,0,0,0,0
359,,0,0,0,0
370,,0,0,0,0
260,,0,0,0,0
338,,0,0,0,0
453,,0,0,0,0
700,,0,0,0,0
702,,0,0,0,0
712,,0,0,0,0
727,,0,0,0,0
753,,0,0,0,0
756,,0,0,0,0
767,,0,0,0,0
783,,0,0,0,0
784,,0,0,0,0
787,,0,0,0,0
887,,0,0,0,0
892,,0,0,0,0
935,,0,0,0,0
945,,0,0,0,0
947,,0,0,0,0
962,,0,0,0,0
977,,0,0,0,0
992,,0,0,0,0
996,,0,0,0,0
1004,,0,0,0,0
1023,,0,0,0,0
1030,,0,0,0,0
1031,,0,0,0,0
1065,,0,0,0,0
1070,,0,0,0,0
1084,,0,0,0,0
1110,,0,0,0,0
1118,,0,0,0,0
1130,,0,0,0,0
1140,,0,0,0,0
1143,,0,0,0,0
1176,,0,0,0,0
1326,,0,0,0,0
1474,,0,0,0,0
1982,,0,0,0,0
34,,0,0,0,0
240,,0,0,0,0
259,,0,0,0,0
456,,0,0,0,0
807,,0,0,0,0
949,,0,0,0,0
1003,,0,0,0,0
1049,,0,0,0,0
1133,,0,0,0,0
1567,,0,0,0,0
1639,,0,0,0,0
1988,,0,0,0,0
2140,,0,0,0,0
2265,,0,0,0,0
2519,,0,0,0,0
2537,,0,0,0,0
2576,,0,0,0,0
2680,,0,0,0,0
2780,,0,0,0,0
3016,,0,0,0,0
3289,,0,0,0,0
3440,,0,0,0,0
3559,,0,0,0,0
3715,,0,0,0,0
4064,,0,0,0,0
4510,,0,0,0,0
4581,,0,0,0,0
4610,,0,0,0,0
4756,,0,0,0,0
4781,,0,0,0,0
4933,,0,0,0,0
4965,,0,0,0,0
