name,CID,SMILES,formula,source,family,SMILES_canonical
Chlorpyrifos,2730,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,C9H11Cl3NO3PS,MIDA_name_search,mixed,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
Malathion,4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,C10H19O6PS2,MIDA_name_search,mixed,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
Dimethoate,3082,CNC(=O)CSP(=S)(OC)OC,C5H12NO3PS2,MIDA_name_search,mixed,CNC(=O)CSP(=S)(OC)OC
Methyl parathion,4130,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-],C8H10NO5PS,MIDA_name_search,mixed,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
Carbaryl,6129,CNC(=O)OC1=CC=CC2=CC=CC=C21,C12H11NO2,MIDA_name_search,mixed,CNC(=O)Oc1cccc2ccccc12
Methomyl,4109,CC(=NOC(=O)NC)SC,C5H10N2O2S,MIDA_name_search,mixed,CNC(=O)ON=C(C)SC
Aldicarb,9570071,CC(C)(/C=N/OC(=O)NC)SC,C7H14N2O2S,MIDA_name_search,mixed,CNC(=O)O/N=C/C(C)(C)SC
Atrazine,2256,CCNC1=NC(=NC(=N1)Cl)NC(C)C,C8H14ClN5,MIDA_name_search,mixed,CCNc1nc(Cl)nc(NC(C)C)n1
Simazine,5216,CCNC1=NC(=NC(=N1)Cl)NCC,C7H12ClN5,MIDA_name_search,mixed,CCNc1nc(Cl)nc(NCC)n1
Tebuconazole,86102,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,C16H22ClN3O,MIDA_name_search,mixed,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1
Propiconazole,43234,CCCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl,C15H17Cl2N3O2,MIDA_name_search,mixed,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
Difenoconazole,86173,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,C19H17Cl2N3O3,MIDA_name_search,mixed,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
