compuesto,cid,familia,smiles,tarea_critica,prob_max,alerta,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53
Chlorpyrifos,2730,mixed,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,NR-AhR,0.9825,ALTO,0.0331,0.0022,0.9825,0.7451,0.7283,0.4297,0.0003,0.4089,0.0135,0.0374,0.6513,0.0063
Malathion,4004,mixed,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,NR-AhR,0.7834,ALTO,0.0022,0.0008,0.7834,0.5312,0.4124,0.0262,0.0001,0.1178,0.0023,0.0055,0.0724,0.0001
Dimethoate,3082,mixed,CNC(=O)CSP(=S)(OC)OC,NR-AhR,0.3732,BAJO,0.0003,0.0001,0.3732,0.0225,0.2953,0.0035,0.0,0.0553,0.0002,0.0055,0.0082,0.0
Methyl parathion,4130,mixed,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,NR-AhR,0.892,ALTO,0.0041,0.0005,0.892,0.829,0.63,0.0494,0.0001,0.2036,0.0095,0.0062,0.3296,0.0007
Carbaryl,6129,mixed,CNC(=O)Oc1cccc2ccccc12,NR-AhR,0.3914,BAJO,0.0218,0.0012,0.3914,0.0128,0.231,0.0051,0.0061,0.1657,0.0762,0.0185,0.0503,0.0126
Methomyl,4109,mixed,CNC(=O)ON=C(C)SC,NR-ER,0.1057,BAJO,0.001,0.0003,0.0046,0.0005,0.1057,0.0006,0.0001,0.0374,0.0003,0.0035,0.0015,0.0001
Aldicarb,9570071,mixed,CNC(=O)O/N=C/C(C)(C)SC,NR-ER,0.0826,BAJO,0.0003,0.0001,0.0019,0.0001,0.0826,0.0019,0.0003,0.0294,0.0002,0.0044,0.0012,0.0001
Atrazine,2256,mixed,CCNc1nc(Cl)nc(NC(C)C)n1,SR-HSE,0.2749,BAJO,0.0031,0.0012,0.2708,0.0044,0.1376,0.028,0.0032,0.187,0.0018,0.2749,0.0632,0.0041
Simazine,5216,mixed,CCNc1nc(Cl)nc(NCC)n1,NR-AhR,0.2187,BAJO,0.0094,0.004,0.2187,0.0056,0.1798,0.0243,0.0033,0.1933,0.0034,0.2005,0.0558,0.0038
Tebuconazole,86102,mixed,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,NR-Aromatase,0.8146,ALTO,0.0002,0.0,0.7027,0.8146,0.1414,0.0017,0.0,0.3216,0.0002,0.0533,0.2905,0.0005
