compound_name,pubchem_cid,smiles,family,source,is_mida,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
Chlorpyrifos,2730,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Organophosphates,MIDA_name_search,True,CHEMBL463210,known_registry,ok,1,CHLORPYRIFOS
Malathion,4004,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,Organophosphates,MIDA_name_search,True,CHEMBL1200468,known_registry,ok,1,MALATHION
Dimethoate,3082,CNC(=O)CSP(=S)(OC)OC,Organophosphates,MIDA_name_search,True,CHEMBL1569524,known_registry,ok,1,DIMETHOATE
Methyl parathion,4130,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,Organophosphates,MIDA_name_search,True,CHEMBL346516,known_registry,ok,1,METHYL PARATHIONE
Carbaryl,6129,CNC(=O)Oc1cccc2ccccc12,Carbamates,MIDA_name_search,True,CHEMBL46917,known_registry,ok,1,CARBARIL
Methomyl,4109,CNC(=O)ON=C(C)SC,Carbamates,MIDA_name_search,True,CHEMBL3085419,known_registry,ok,1,METHOMYL
Aldicarb,9570071,CNC(=O)O/N=C/C(C)(C)SC,Carbamates,MIDA_name_search,True,CHEMBL91732,known_registry,ok,1,ALDICARB
Atrazine,2256,CCNc1nc(Cl)nc(NC(C)C)n1,Triazines,MIDA_name_search,True,CHEMBL15063,known_registry,ok,1,ATRAZINE
Simazine,5216,CCNc1nc(Cl)nc(NCC)n1,Triazines,MIDA_name_search,True,CHEMBL1605837,known_registry,ok,1,SIMAZINE
Tebuconazole,86102,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,Azole_fungicides,MIDA_name_search,True,CHEMBL487186,known_registry,ok,1,TEBUCONAZOLE
Propiconazole,43234,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,Azole_fungicides,MIDA_name_search,True,CHEMBL560579,known_registry,ok,1,PROPICONAZOLE
Difenoconazole,86173,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,Azole_fungicides,MIDA_name_search,True,CHEMBL466426,known_registry,ok,1,DIFENOCONAZOLE
Cypermethrin,2912,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Pyrethroids,MIDA_name_search,True,CHEMBL373204,known_registry,ok,1,ALPHA-CYPERMETHRIN
Deltamethrin,40585,CC1(C)[C@H](C(=O)O[C@H](C#N)c2cccc(Oc3ccccc3)c2)[C@@H]1C=C(Br)Br,Pyrethroids,MIDA_name_search,True,CHEMBL1593566,known_registry,ok,1,DELTAMETHRIN
Lambda-cyhalothrin,6440557,CC1(C)[C@H](/C=C(\Cl)C(F)(F)F)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1,Pyrethroids,MIDA_name_search,True,CHEMBL2251732,known_registry,ok,1,REL-LAMBDA CYHALOTHRIN
Glyphosate,3496,O=C(O)CNCP(=O)(O)O,Herbicides,MIDA_name_search,True,CHEMBL95764,known_registry,ok,1,GLYPHOSATE
Paraquat,15939,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,Herbicides,MIDA_name_search,True,CHEMBL74469,known_registry,ok,1,PARAQUAT
"2,4-D",1486,O=C(O)COc1ccc(Cl)cc1Cl,Herbicides,MIDA_name_search,True,CHEMBL367623,known_registry,ok,1,"2,4-DICHLOROPHENOXYACETIC ACID"
Mancozeb,3034368,S=C([S-])NCCNC(=S)[S-].S=C([S-])NCCNC(=S)[S-].[Mn+2].[Zn+2],mixed,MIDA_name_search,False,CHEMBL494652,sqlite_pref_name,ok,1,MANCOZEB
Chlorothalonil,15910,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,Fungicides,MIDA_name_search,True,CHEMBL468167,known_registry,ok,1,CHLOROTHALONIL
CID_119,119,NCCCC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL96,sqlite_smiles,ok,1,GAMMA-AMINOBUTYRIC ACID
CID_152,152,NCC(=O)NC1OC(COP(=O)(O)O)C(O)C1O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_205,205,CC(O)C(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL30037,sqlite_smiles,ok,1,
CID_222,222,N,Organophosphates,classification_hnid_4400064,False,CHEMBL1160819,sqlite_smiles,ok,1,"AMMONIA SOLUTION, STRONG"
CID_224,224,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Organophosphates,classification_hnid_4400064,False,CHEMBL16720,sqlite_smiles,ok,1,
CID_227,227,Nc1ccccc1C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL14173,sqlite_smiles,ok,1,ANTHRANILIC ACID
CID_229,229,OC1COC(O)C(O)C1O,Organophosphates,classification_hnid_4400064,False,CHEMBL14343,sqlite_smiles,ok,1,
CID_232,232,NC(N)=NCCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_236,236,NC(=O)CC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_239,239,NCCC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL297569,sqlite_smiles,ok,1,BETA-ALANINE
CID_255,255,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,Organophosphates,classification_hnid_4400064,False,CHEMBL1231178,sqlite_smiles,ok,1,
CID_277,277,NC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL125278,sqlite_smiles,ok,1,CARBAMIC ACID
CID_280,280,O=C=O,Organophosphates,classification_hnid_4400064,False,CHEMBL1231871,sqlite_smiles,ok,1,CARBON DIOXIDE
CID_297,297,C,Organophosphates,classification_hnid_4400064,False,CHEMBL17564,sqlite_smiles,ok,1,METHANE
CID_313,313,Cl,Organophosphates,classification_hnid_4400064,False,CHEMBL1231821,sqlite_smiles,ok,1,HYDROCHLORIC ACID
CID_335,335,Cc1ccccc1O,Organophosphates,classification_hnid_4400064,False,CHEMBL46931,sqlite_smiles,ok,1,ORTHOCRESOL
CID_364,364,NCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL596011,sqlite_smiles,ok,1,
CID_378,378,O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1,Organophosphates,classification_hnid_4400064,False,CHEMBL24231,sqlite_smiles,ok,1,p-NITROPHENYLPHOSPHATE
CID_392,392,NCCCC(N)CC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL5222185,sqlite_smiles,ok,1,
CID_424,424,NC(CC(=O)O)C(=O)O,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_470,470,NCCC(N)C(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL307931,sqlite_smiles,ok,1,
CID_499,499,O=C1CCC(C(=O)O)N1,Organophosphates,classification_hnid_4400064,False,,,not_found,0,
CID_504,504,O=C1CN=CN1,Organophosphates,classification_hnid_4400064,False,CHEMBL2447922,sqlite_smiles,ok,1,IMIDAZOLINONE
CID_529,529,O=C(O)COP(=O)(O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL47181,sqlite_smiles,ok,1,PHOSPHOGLYCOLIC ACID
CID_564,564,NCCCCCC(=O)O,Organophosphates,classification_hnid_4400064,False,CHEMBL1046,sqlite_smiles,ok,1,AMINOCAPROIC ACID
