chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,cluster,cluster_label
CHEMBL100476,CID_745,Organophosphates,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,2,2,307.33,-2.21,158.82,6,6,0,9,1,20,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL101,CID_4781,Herbicides,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,297,117,308.38,3.79,40.62,2,0,2,5,0,23,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL103009,CID_4965,Herbicides,COc1ccc(C(=O)CBr)cc1,3,1,229.07,2.27,26.3,2,0,1,3,0,12,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1046,CID_564,Organophosphates,NCCCCCC(=O)O,128,101,131.18,0.59,63.32,2,2,0,5,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL104943,CID_700,Pyrethroids,NCCO,16,11,61.08,-1.06,46.25,2,2,0,1,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL113,CID_2519,Herbicides,Cn1c(=O)c2c(ncn2C)n(C)c1=O,306,141,194.19,-1.03,61.82,6,0,2,0,0,14,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1157,CID_196,Azole_fungicides,O=C(O)CCCCC(=O)O,18,5,146.14,0.72,74.6,2,2,0,5,0,10,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1160571,CID_1023,Pyrethroids,O=P(O)(O)OP(=O)(O)O,22,5,177.97,-0.81,124.29,3,4,0,2,0,9,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1160819,CID_222,Organophosphates,N,2,0,17.03,0.16,35.0,1,1,0,0,0,1,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1161632,CID_767,Pyrethroids,O=C(O)O,47,0,62.02,0.22,57.53,1,2,0,0,0,4,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1161998,CID_668,Organophosphates,O=C(CO)COP(=O)(O)O,30,0,170.06,-1.34,104.06,4,3,0,4,0,10,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL116455,CID_1133,Herbicides,O=C(O)CS,57,56,92.12,0.0,37.3,2,2,0,1,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL116736,CID_284,Carbamates,O=CO,3,0,46.03,-0.3,37.3,1,1,0,0,0,3,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1187,CID_1004,Pyrethroids,O=P(O)(O)O,12,5,97.99,-0.93,77.76,1,3,0,0,0,5,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL11909,CID_191,Triazines,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,146,131,267.25,-1.98,139.54,9,4,2,2,0,19,1,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
CHEMBL1191361,CID_787,Pyrethroids,NO,15,9,33.03,-0.67,46.25,2,2,0,0,0,2,0,"Partición exploratoria — no corresponde a familias (ARI=0.008, silhouette=0.36)"
